country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,0.189,false,,,,,,,,,
Bulgaria,BG,0.331,false,,,,,,,,,
Czechia,CZ,0.154,false,,,,,,,,,
Denmark,DK,0.148,false,,,,,,,,,
Germany,DE,0.235,false,,,,,,,,,
Estonia,EE,0.194,false,,,,,,,,,
Ireland,IE,0.237,false,,,,,,,,,
Greece,EL,0.296,false,,,,,,,,,
Spain,ES,0.338,false,,,,,,,,,
France,FR,0.275,false,,,,,,,,,
Croatia,HR,0.157,false,,,,,,,,,
Italy,IT,0.271,false,,,,,,,,,
Cyprus,CY,0.140,false,,,,,,,,,
Latvia,LV,0.176,false,,,,,,,,,
Lithuania,LT,null,false,,,,,,,,,
Luxembourg,LU,null,false,,,,,,,,,
Hungary,HU,0.230,false,,,,,,,,,
Malta,MT,null,false,,,,,,,,,
Netherlands,NL,0.127,false,,,,,,,,,
Austria,AT,null,false,,,,,,,,,
Poland,PL,0.156,false,,,,,,,,,
Portugal,PT,0.192,false,,,,,,,,,
Romania,RO,0.324,false,,,,,,,,,
Slovenia,SI,0.125,false,,,,,,,,,
Slovakia,SK,null,false,,,,,,,,,
Finland,FI,0.171,false,,,,,,,,,
Sweden,SE,0.234,false,,,,,,,,,
